product_id,product_name,category,price,price_flag
PROD-0089,Forward Event,clothing,43838.0,
PROD-0090,Rest Whatever,kitchen,4459.16,
PROD-0091,Century Show,clothing,45637.6,
PROD-0092,Production Front,toys,24604.88,
PROD-0093,Site Himself,sports,44789.91,
PROD-0094,City Indicate!,kitchen,,
PROD-0095,Your Up,sports,45881.34,
PROD-0096,Drop Point,electronics,41058.72,
PROD-0097,Society Little,beauty,27265.71,
PROD-0098,Structure Create,automotive,45707.56,
PROD-0099,Bank Word,clothing,17261.44,
PROD-0100,Mrs Claim,kitchen,6277.16,
PROD-0101,Effect Relate,automotive,107.85,
PROD-0102,Kid Forward,,125124.2,
PROD-0103,Sucesful Sea,kitchen,2328.95,
PROD-0104,Suddenly Try,electronics,48399.57,
PROD-0105,Republican Real,kitchen,,
PROD-0106,Per Onto,toys,1914.85,
PROD-0107,Drive Action,sports,44693.31,
PROD-0108,Various Someone,sports,30063.79,
PROD-0109,Head She,beauty,42301.44,
PROD-0110,Send West,beauty,30644.68,
PROD-0111,Name Heavy,home,13286.79,
PROD-0112,Hope Nation,automotive,44282.43,
PROD-0113,May Gas,automotive,48622.83,
PROD-0114,Ever Audience,home,176192.7,
PROD-0115,Word Church,clothing,20780.63,
PROD-0116,Food Significant,kitchen,7411.37,
PROD-0117,Movement Long,kitchen,41153.98,
PROD-0118,Practice Late,home,2918.06,
PROD-0119,Pressure Prepare,beauty,18789.28,
PROD-0120,Key Glass,home,10468.41,
PROD-0121,Give Buy,clothing,16133.37,
PROD-0122,Start Production,automotive,14622.56,
PROD-0123,Energy Trade,electronics,2610.28,
PROD-0124,Western Play,kitchen,6835.42,
PROD-0125,Clearly Even1,home,17613.3,
PROD-0126,Training Build,beauty,13419.88,
PROD-0127,Good Each,electronics,,sentinel
PROD-0128,Single Choose,clothing,46080.56,
PROD-0129,Mission Reach,electronics,7005.53,
PROD-0130,Cover Say,beauty,24270.06,
PROD-0131,My Produce,beauty,4841.52,
PROD-0132,Baby Blue,,,
PROD-0133,Cover Everybody3,beauty,282832.98,
PROD-0134,Hard Thought,clothing,38791.5,
PROD-0135,Student Positive,home,31781.67,
PROD-0136,As Too,beauty,15727.35,
PROD-0137,That Account,toys,24839.33,
PROD-0138,Woman Pattern,beauty,16435.2,
PROD-0139,Campaign Table,home,30965.67,
PROD-0140,Right Perhaps,kitchen,26967.27,
PROD-0141,Physical Great!,kitchen,,sentinel
PROD-0142,Sometimes Finish,beauty,28351.68,
PROD-0143,Down Resource,sports,21798.26,
PROD-0144,Everybody Policy,beauty,33373.49,
PROD-0145,Exist Data,clothing,31826.34,
PROD-0146,Push Arm,electronics,41038.34,
PROD-0147,Read Inside,kitchen,45160.61,
PROD-0148,Onto Pattern,beauty,28252.98,
PROD-0149,Lead Senior7,,,sentinel
PROD-0150,Stage Federal,toys,23349.91,
PROD-0151,Or Exactly,clothing,19852.22,
PROD-0152,Reflect Friend,sports,22564.57,
PROD-0153,Decade Week,clothing,17514.81,
PROD-0154,Factor Low,,1200.0,
PROD-0155,Proces Wek,,5227.9,
PROD-0156,Pull Realize6,electronics,,
PROD-0157,Arm Help,kitchen,4022.36,
PROD-0158,Agency Somebody,kitchen,34370.95,
PROD-0159,Night Site,kitchen,15879.6,
PROD-0160,Tend See,electronics,22699.58,
PROD-0161,Past Man,clothing,36231.03,
PROD-0162,On Church,home,29911.04,
PROD-0163,Same Usually,sports,32701.07,
PROD-0164,Score Professional,sports,44380.58,
PROD-0165,Bit Them,sports,45646.44,
PROD-0166,Reason That,kitchen,9784.54,
PROD-0167,Include Instead,clothing,6180.38,
PROD-0168,You Hard,automotive,35460.14,
PROD-0169,Key Appear,electronics,37036.2,
PROD-0170,Year Behavior,kitchen,43403.13,
PROD-0171,Under Through,clothing,7242.96,
PROD-0172,State Field,home,15956.59,
PROD-0173,Behavior Talk,toys,,sentinel
PROD-0174,Black While,toys,,sentinel
PROD-0175,Wide Work,kitchen,38221.21,
PROD-0176,Network Late,home,49067.76,
PROD-0177,Million Of,home,,sentinel
PROD-0178,Hope War,electronics,21863.71,
PROD-0179,Benefit Environment,beauty,31858.42,
PROD-0180,Building Great,beauty,5879.51,
PROD-0181,Series Hit,toys,,sentinel
PROD-0182,Whose Son,toys,23807.07,
PROD-0183,Naturalahead,beauty,,
PROD-0184,Tend Thousand,kitchen,8040.12,
PROD-0185,Cary Of,sports,13433.0,
PROD-0186,Save Machine5,clothing,,sentinel
PROD-0187,Who Food,kitchen,12172.79,
PROD-0188,Budget Guy,automotive,14373.66,
PROD-0189,Even Event,home,44247.8,
PROD-0190,Capital Represent,automotive,39819.92,
PROD-0191,Middle Ability,home,33517.86,
PROD-0192,Service Probably,beauty,48606.96,
PROD-0193,Somebodyfree,electronics,851374.78,
PROD-0194,Finish Rate,kitchen,2015.77,
PROD-0195,Especialy Answer,home,1200.0,
PROD-0196,Activity Relate,beauty,1654.76,
PROD-0197,According Serve,clothing,13464.95,
PROD-0198,Fly Floor,kitchen,42787.69,
PROD-0199,Realize Learn,sports,17723.43,
PROD-0200,Always Conference,clothing,38531.53,
